nota_url,nota_titulo,nota_fecha_disponible
https://www.lanacion.com.ar/agencias/activistas-urgen-a-organizadores-de-paris-2024-respeten-los-derechos-de-personas-que-viven-la-calle-nid30102023/,Activistas urgen a organizadores de París 2024 respeten los derechos de personas que viven la calle,2023-10-30T12:00:38
https://www.lanacion.com.ar/agencias/gallen-poncha-a-7-y-diamondbacks-vencen-5-1-a-guardianes-nid17062023/,Gallen poncha a 7 y Diamondbacks vencen 5-1 a Guardianes,2023-06-17T02:10:31
https://www.lanacion.com.ar/agencias/jueza-exonera-a-dos-hombres-por-el-asesinato-de-malcolm-x-nid18112021/,Jueza exonera a dos hombres por el asesinato de Malcolm X,2021-11-18T18:53:04
https://www.lanacion.com.ar/agencias/ataque-de-huties-alcanza-buque-de-propiedad-de-eeuu-frente-a-las-costas-de-yemen-nid15012024/,Ataque de hutíes alcanza buque de propiedad de EEUU frente a las costas de Yemen,2024-01-15T18:51:00
https://www.lanacion.com.ar/agencias/peru-aprobacion-de-equipo-de-castillo-en-manos-del-congreso-nid27082021/,Perú: aprobación de equipo de Castillo en manos del Congreso,2021-08-27T10:52:38
https://www.lanacion.com.ar/agencias/lo-ultimo-ucrania-enviara-87-rescatistas-a-turquia-nid07022023/,LO ÚLTIMO: Ucrania enviará 87 rescatistas a Turquía,2023-02-07T13:10:40
https://www.lanacion.com.ar/agencias/eeuu-identifica-a-soldados-muertos-en-choque-de-helicopteros-nid29042023/,EEUU identifica a soldados muertos en choque de helicópteros,2023-04-29T23:50:30
https://www.lanacion.com.ar/agencias/mazzarri-asegura-que-el-exito-del-napoli-inicio-hace-10-anos-cuando-dirigio-por-primera-vez-al-club-nid24112023/,Mazzarri asegura que el éxito del Napoli inició hace 10 años cuando dirigió por primera vez al club,2023-11-24T16:21:15
https://www.lanacion.com.ar/agencias/el-coliseo-de-puerto-rico-y-asm-global-recompensa-a-la-visitante-numero-10000000-en-el-concierto-de-nid23052022/,El Coliseo de Puerto Rico y ASM Global recompensa a la visitante número 10000000 en el concierto de Tommy Torres,2022-05-23T23:02:07
https://www.lanacion.com.ar/agencias/belichick-en-buen-termino-con-harry-cuyo-futuro-es-incierto-nid02082021/,"Belichick en buen término con Harry, cuyo futuro es incierto",2021-08-02T20:22:37
https://www.lanacion.com.ar/agencias/primicia-en-el-sector-puma-crea-una-serie-de-podcast-sobre-su-informe-de-sostenibilidad-para-llegar-nid01062023/,Primicia en el sector: PUMA crea una serie de pódcast sobre su Informe de Sostenibilidad para llegar a la Generación Z,2023-06-01T11:10:52
https://www.lanacion.com.ar/agencias/muere-billy-turner-entrenador-de-potro-de-triple-corona-nid02012022/,"Muere Billy Turner, entrenador de potro de Triple Corona",2022-01-02T00:07:45
https://www.lanacion.com.ar/agencias/pinto-sacude-jonron-de-2-carreras-rays-se-imponen-9-7-a-medias-rojas-nid27092023/,Pinto sacude jonrón de 2 carreras; Rays se imponen 9-7 a Medias Rojas,2023-09-27T00:40:46
https://www.lanacion.com.ar/agencias/despiden-a-nino-que-murio-en-rina-de-transito-en-california-nid05062021/,Despiden a niño que murió en riña de tránsito en California,2021-06-05T21:22:20
https://www.lanacion.com.ar/agencias/trump-alento-la-intolerancia-y-facebook-no-le-puso-freno-nid27102021/,Trump alentó la intolerancia y Facebook no le puso freno,2021-10-27T12:22:45
https://www.lanacion.com.ar/agencias/napoli-ante-el-reto-de-sacudirse-una-fea-derrota-nid06042023/,Napoli ante el reto de sacudirse una fea derrota,2023-04-06T20:10:38
https://www.lanacion.com.ar/agencias/restringen-acceso-a-whatsapp-a-periodistas-en-gaza-nid24052021/,Restringen acceso a WhatsApp a periodistas en Gaza,2021-05-24T17:37:21
https://www.lanacion.com.ar/agencias/gimnasta-de-costa-rica-homenajea-a-black-lives-matter-nid25072021/,Gimnasta de Costa Rica homenajea a Black Lives Matter,2021-07-25T07:52:25
https://www.lanacion.com.ar/agencias/rusia-busca-avances-en-bajmut-refuerza-defensas-en-el-sur-nid13022023/,"Rusia busca avances en Bájmut, refuerza defensas en el sur",2023-02-13T09:50:54
